auc,acc,f1,precision,recall,specificity,loss,threshold,model_family,fourier_mode,regime,seed,run_name
0.6553165684381386,0.6584424905795802,0.7417757579868413,0.636109818520242,0.8895396128192614,0.3742748549709942,1.5638554231687023,0.5,dino,concat_frequency,finetune,42,seed_42
0.7621581580021878,0.6812309348645254,0.7499824079938077,0.6608382936507936,0.8669269562388157,0.4528905781156231,1.4965797046368772,0.5,dino,concat_frequency,finetune,123,seed_123
0.6893544480817426,0.6684909384532568,0.7452602550844536,0.6466858100023929,0.879290710915894,0.4092818563712742,1.200394180687991,0.5,dino,concat_frequency,finetune,2024,seed_2024
0.7034514923157074,0.66741431903822,0.7448551173515039,0.6455499880696731,0.8802667968114527,0.4056811362272454,1.4255154911767354,0.5,dino,concat_frequency,finetune,2025,seed_2025
0.6887234775733413,0.6646330522160416,0.6788659793814433,0.7192790824685964,0.6427525622254758,0.6915383076615323,2.9288405139337885,0.5,mobilenet,none,finetune,7,
0.6983404815012132,0.6645433339314553,0.6857190888459276,0.709391304347826,0.6635757279973971,0.6657331466293258,3.0895491283048284,0.5,mobilenet,none,finetune,42,
0.7018102335287295,0.6630181230934864,0.6802315681934276,0.7135202714770494,0.6499105254595737,0.6791358271654331,2.931303094733845,0.5,mobilenet,none,finetune,123,
0.7303984141549311,0.6891261439081284,0.7119940154600615,0.727906186267845,0.6967626484463966,0.6797359471894379,1.068014139478857,0.5,mobilenet,none,finetune,987,
0.7006270621295236,0.6614929122555177,0.6775489274420989,0.7137198415556356,0.6448674149991866,0.6819363872774555,2.624359080737287,0.5,mobilenet,none,finetune,2024,
0.7023843356600391,0.6718105149829535,0.6892626571525654,0.7212444444444445,0.6599967463803481,0.6863372674534907,3.044641284780069,0.5,mobilenet,none,finetune,2025,
0.4621624991990427,0.4793647945451283,0.5490013212092951,0.5255952380952381,0.5745892305189524,0.3622724544908982,3.655859054489569,0.5,mobilenet,magnitude,finetune,7,
0.4222829924696506,0.4419522698726,0.496274700356333,0.4941138526044186,0.4984545306653652,0.3724744948989797,3.307937427000566,0.5,mobilenet,magnitude,finetune,42,
0.4681173098130282,0.4837609904898618,0.554368029739777,0.5290465631929047,0.5822352367008297,0.3626725345069014,2.029476744207469,0.5,mobilenet,magnitude,finetune,123,
0.4585789453319328,0.4642024044500269,0.5046449900464499,0.5148079201218481,0.4948755490483162,0.4264852970594119,4.335276359861547,0.5,mobilenet,magnitude,finetune,2024,
0.4429109833679767,0.4624080387582989,0.5260243632336655,0.5119322555812164,0.5409142671221734,0.3658731746349269,3.6140751486474816,0.5,mobilenet,magnitude,finetune,2025,
0.4945988221558416,0.4694957832406244,0.3752773375594295,0.5352622061482821,0.2889214250854075,0.6915383076615323,1.8720280704173176,0.5,mobilenet,phase,finetune,7,
0.5154603232343231,0.4836712722052754,0.3890009555154475,0.5599022004889975,0.2980315601106231,0.7119423884776955,1.325255354697054,0.5,mobilenet,phase,finetune,42,
0.5311485104894738,0.4694957832406244,0.331939893797311,0.5432692307692307,0.2389783634293151,0.7529505901180236,1.2023670246655291,0.5,mobilenet,phase,finetune,123,
0.4858663126801381,0.4457204378252288,0.3036519386834986,0.4943119266055046,0.2191312835529526,0.7243448689737948,1.7473480769179084,0.5,mobilenet,phase,finetune,2024,
0.5210918058021886,0.4700340929481428,0.328215626066189,0.5453514739229025,0.2347486578818936,0.7593518703740748,1.4853804612701589,0.5,mobilenet,phase,finetune,2025,
0.6327480560371062,0.6034451821281177,0.6559775840597758,0.628861363975526,0.6855376606474703,0.50250050010002,2.1976497037844225,0.5,mobilenet,complex,finetune,7,
0.6065260066817333,0.5801184281356541,0.6151315789473685,0.6219856976550806,0.6084268748983244,0.5453090618123625,2.4944174614819614,0.5,mobilenet,complex,finetune,42,
0.6209117047095771,0.5949219450924098,0.6199814830401481,0.6423090338332752,0.5991540588905157,0.5897179435887178,1.895704506473108,0.5,mobilenet,complex,finetune,123,
0.5197874128266355,0.5029607033913511,0.4845552660960178,0.5659639208867637,0.4236212786725232,0.6005201040208041,1.7615323473106732,0.5,mobilenet,complex,finetune,2024,
0.6111207925658664,0.5854118069262516,0.5984881397167434,0.6422976501305483,0.5602733040507565,0.6163232646529306,2.4277052066542884,0.5,mobilenet,complex,finetune,2025,
0.6454426235824683,0.6110712363179616,0.6196367465122401,0.6725714285714286,0.5744265495363592,0.656131226245249,3.6307907646352593,0.5,mobilenet,concat,finetune,7,
0.6876281714777965,0.6383455948322269,0.6270010178587953,0.7270386266094421,0.551163169025541,0.7455491098219644,3.818196222186089,0.5,mobilenet,concat,finetune,42,
0.6660864953208634,0.6311681320653149,0.6511075277942799,0.680624556422995,0.6240442492272653,0.6399279855971194,4.401621162891388,0.5,mobilenet,concat,finetune,123,
0.6560224034395297,0.6297326395119325,0.6342933097031458,0.696574542623589,0.5822352367008297,0.6881376275255051,4.204898449507627,0.5,mobilenet,concat,finetune,2024,
0.6827530952749847,0.6464202404450027,0.6474639949906074,0.7191971383147854,0.5887424760045551,0.7173434686937388,4.652650220827623,0.5,mobilenet,concat,finetune,2025,
0.4223078550963162,0.4426700161492912,0.4720380758116607,0.4942160526784125,0.4517650886611355,0.4314862972594518,2.890695636922663,0.5,mobilenet,frequency_3,finetune,7,
0.4233919502299679,0.4415933967342544,0.4879894702204672,0.4935929439174571,0.482511794371238,0.3912782556511302,3.8010992218147615,0.5,mobilenet,frequency_3,finetune,42,
0.4513422287515906,0.4593576170823614,0.4988356620093147,0.510294367874766,0.4878802667968114,0.4242848569713943,4.313683555884794,0.5,mobilenet,frequency_3,finetune,123,
0.378286768464804,0.4114480531132244,0.4664063770945176,0.4664063770945176,0.4664063770945176,0.3438687737547509,1.875208858739246,0.5,mobilenet,frequency_3,finetune,2024,
