model_family,fourier_mode,regime,seed,test_auc,test_acc,test_f1,test_precision,test_recall,test_specificity,test_d_auc,test_d_acc,test_d_f1,test_d_precision,test_d_recall,test_d_specificity,delta_auc,delta_acc
xception,concat,finetune,2024,0.7355772603547927,0.6729761963648755,0.7320704080116356,0.6904494954642748,0.7790310987589247,0.5303729285327697,0.6122755971721516,0.5927440408470599,0.6527222537270763,0.6387100324693192,0.6673630744165988,0.492409989433262,-0.12330166318264102,-0.0802321555178156
xception,concat,finetune,7,0.7318335846329093,0.6715691932265989,0.7277647433999226,0.6935915248350122,0.7654798984139154,0.5452952243498879,0.6149254134919523,0.5912216194825965,0.641923836117664,0.644966864992986,0.6389093871292347,0.5270998170150254,-0.11690817114095697,-0.08034757374400237
xception,concat,finetune,2025,0.7265319470857187,0.6670294096632536,0.7236693866566929,0.6904417908369308,0.7602568402894245,0.5416741836550605,0.6082670078835086,0.5848846092543433,0.6306957367847171,0.6438326079143872,0.6180842397814941,0.5402438081492745,-0.11826493920221004,-0.08214480040891037
xception,frequency_3,finetune,42,0.6980984114382796,0.6471390020170709,0.7074919813383875,0.674318021937938,0.7440989026786142,0.5167650318290765,0.53208370137776,0.5425755851978873,0.6095433796381003,0.5970424968752298,0.622578944846423,0.4350016752145563,-0.1660147100605196,-0.10456341681918357
xception,frequency_3,finetune,123,0.7106338220711715,0.6573397747695757,0.7221162417543234,0.6749739615881348,0.776338109157123,0.4973325429756965,0.5439523460888438,0.5502976141403816,0.6243009192510078,0.5992718681958022,0.6515118117782357,0.4142032421844798,-0.16668147598232774,-0.10704216062919414
xception,frequency_3,finetune,2024,0.7022802245821049,0.6502882707601664,0.7118238760139313,0.674815807099799,0.7531266471800278,0.5120099997422747,0.5306821457470589,0.5396406645891386,0.6040062216044743,0.596028961707845,0.612199913747664,0.4420762351485786,-0.17159807883504608,-0.11064760617102776
xception,frequency_3,finetune,7,0.7083130005957519,0.6559767404793704,0.7104810360777059,0.6866300120691967,0.736048684651876,0.5483106105512745,0.5419246528595656,0.5402067635080545,0.588049911856528,0.6047623388330143,0.5722363314006421,0.4971392489884281,-0.16638834773618627,-0.11576997697131586
xception,frequency_3,finetune,2025,0.6775659304589272,0.6315410531638335,0.6898249250471925,0.6668515354545536,0.7144376826872394,0.5200768021442747,0.5164801809509589,0.5182827966385816,0.5557295864316742,0.5898340829370118,0.5253533949877809,0.508775547021984,-0.16108574950796828,-0.1132582565252519
xception,concat_frequency,finetune,42,0.6633426140669694,0.6118814819700242,0.7076082230917334,0.622942334329664,0.8189084287699459,0.3335094456328445,0.582072455951185,0.5787124822063568,0.6898764393160871,0.5969500283571744,0.8170683789352629,0.2582149944589057,-0.08127015811578442,-0.033168999763667384
xception,concat_frequency,finetune,123,0.649526326827546,0.6038681594090587,0.7011530950297914,0.6179183231992517,0.8103023623556471,0.3262931367748254,0.5688376657019938,0.5733153061056242,0.6908982322025801,0.5909682253175765,0.8315012698260578,0.2261539651039921,-0.08068866112555217,-0.03055285330343449
xception,concat_frequency,finetune,2024,0.6617613051239659,0.6115297311854551,0.6998568947433236,0.6283455080597197,0.7897359720159087,0.3719105177701605,0.5706622068796422,0.5730075241691261,0.6781476817021841,0.597253336641394,0.7843883271838612,0.2887812169789438,-0.09109909824432372,-0.03852220701632891
xception,concat_frequency,finetune,7,0.6639102906004041,0.6134643605005853,0.7046501568530285,0.6271379021648128,0.8040251090133691,0.3572330610035824,0.5781850367714402,0.5782618015136276,0.6901088782631171,0.5963593469718226,0.8188317600268341,0.2547872477513466,-0.0857252538289639,-0.03520255898695768
xception,concat_frequency,finetune,2025,0.6575643611613375,0.6096115901883515,0.6978732454274776,0.6273947458988184,0.7861900426469883,0.3721811293523362,0.5734904703486282,0.5738319400704601,0.6826423279990177,0.5957424009715326,0.7992237289759931,0.2707662173655318,-0.08407389081270933,-0.035779650117891415
mobilenet,none,finetune,42,0.8461152153758994,0.7441287847560004,0.7403093640354547,0.8856471718762512,0.6359480569265418,0.8895904744723074,0.6717405392854265,0.6193067211880383,0.6226561052941241,0.7214108082861002,0.5476831664190905,0.7156129996649571,-0.17437467609047286,-0.1248220635679621
mobilenet,none,finetune,123,0.844571807886681,0.740105635157491,0.7373951096524111,0.8767497755005018,0.6362643154918779,0.8797324811216206,0.6760288377277714,0.6167180552578498,0.6068297523270433,0.7369567003532989,0.5157602185059179,0.7524677199041262,-0.1685429701589095,-0.12338757989964111
mobilenet,none,finetune,2024,0.8472696618392533,0.7383358890226275,0.7308507691350975,0.89105621570952,0.6194738607503953,0.8981598412412051,0.6641345718302891,0.6140909165855991,0.609641246879743,0.7259426967482259,0.5254588145095597,0.7332671838354682,-0.18313509000896422,-0.12424497243702837
mobilenet,none,finetune,7,0.8509548560572863,0.7460249413290684,0.7431493524540048,0.8846688281611857,0.640663184627917,0.8876961933970774,0.6730401366988218,0.6191033652657092,0.6179400528135044,0.7274036963970512,0.5371124634625521,0.7293497590268292,-0.17791471935846448,-0.1269215760633592
mobilenet,none,finetune,2025,0.8462965763685738,0.7434747481409422,0.7381160786426071,0.8903071238105551,0.6303608222722699,0.895569701811809,0.6650785773417799,0.6188505443893002,0.624061495427416,0.7183865009235685,0.5516316066893479,0.7092342980851009,-0.18121799902679392,-0.12462420375164196
mobilenet,magnitude,finetune,42,0.7200467188976883,0.6593678378868572,0.6702105582427406,0.7534456355283308,0.6035363457760314,0.7344398340248963,0.546006841133216,0.5247901861531106,0.5150837048876924,0.6208896700919416,0.4400881690545785,0.6386819927321461,-0.17403987776447238,-0.13457765173374658
